code,company_name,gics_sector,gics_industry_group,market_cap_rank
DBF,DUXTON FARMS LTD,Other,"Food, Beverage & Tobacco",789
IBR,IRON BEAR RESOURCES LTD,Materials,Materials,790
WCE,WEST COAST SILVER LIMITED,Materials,Materials,791
BIO,BIOME AUSTRALIA LIMITED,Consumer Staples,Household & Personal Products,792
SKK,STAKK LIMITED,Communication Services,Telecommunication Services,793
HAR,HARANGA RESOURCES LIMITED,Materials,Materials,794
MYE,MASTERMYNE GROUP LIMITED,Materials,Materials,795
RZI,RAIZ INVEST LIMITED,Financials,Financial Services,796
SMN,STRUCTURAL MONITORING SYSTEMS PLC,Information Technology,Technology Hardware & Equipment,797
PPE,PEOPLEIN LIMITED,Industrials,Commercial & Professional Services,798
FFI,FFI HOLDINGS LIMITED,Other,"Food, Beverage & Tobacco",799
PHO,PHOSCO LTD,Materials,Materials,800
PTX,PRESCIENT THERAPEUTICS LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",801
CZR,CZR RESOURCES LTD,Materials,Materials,802
D3E,D3 ENERGY LIMITED,Energy,Energy,803
AOF,AUSTRALIAN UNITY OFFICE FUND,Real Estate,Equity Real Estate Investment Trusts (REITs),804
VBX,VBX LIMITED,Materials,Materials,805
PFG,PRIME FINANCIAL GROUP LIMITED,Financials,Financial Services,806
ENP,ENTROPY NEURODYNAMICS LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",807
FLN,FREELANCER LIMITED,Industrials,Commercial & Professional Services,808
PGO,PACGOLD LIMITED,Materials,Materials,809
AUZ,AUSTRALIAN MINES LIMITED,Materials,Materials,810
NMR,NATIVE MINERAL RESOURCES HOLDINGS LIMITED,Materials,Materials,811
VBC,VERBREC LIMITED,Industrials,Capital Goods,812
AAM,AUMEGA METALS LTD,Materials,Materials,813
CMP,COMPUMEDICS LIMITED,Health Care,Health Care Equipment & Services,814
ODY,ODYSSEY GOLD LTD,Materials,Materials,815
CCA,CHANGE FINANCIAL LIMITED,Financials,Financial Services,816
LMG,LATROBE MAGNESIUM LIMITED,Materials,Materials,817
ECT,ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED,Industrials,Commercial & Professional Services,818
GHY,GOLD HYDROGEN LIMITED,Energy,Energy,819
FAR,FAR LIMITED,Energy,Energy,820
NUZ,NEURIZON THERAPEUTICS LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",821
COB,COBALT BLUE HOLDINGS LIMITED,Materials,Materials,822
OD6,OD6 METALS LIMITED,Materials,Materials,823
IRI,INTEGRATED RESEARCH LIMITED,Information Technology,Software & Services,824
MAM,MICROEQUITIES ASSET MANAGEMENT GROUP LIMITED,Financials,Financial Services,825
TZN,TERRAMIN AUSTRALIA LIMITED,Materials,Materials,826
ROC,ROCKETBOOTS LIMITED,Information Technology,Software & Services,827
POD,PODIUM MINERALS LIMITED,Materials,Materials,828
BPG,BLACK PEARL GROUP LIMITED,Information Technology,Software & Services,829
EV8,EVERLAST MINERALS LTD,Materials,Materials,830
CYG,COVENTRY GROUP LIMITED,Industrials,Capital Goods,831
KZR,KALAMAZOO RESOURCES LIMITED,Materials,Materials,832
